tim_day,username,start_date,end_date,country,site,department,division,function
2025-12-01,user_0743,2025-04-23,,Mexico,MLM,Sellers Growth,marketplace,Manager
2025-05-01,user_0466,2021-11-18,,Ecuador,MEC,Product Analytics,Products,Product Manager
2025-05-01,user_0554,2018-04-01,,Mexico,MLM,Credit,Fintech,Analyst
2025-02-01,user_0722,2018-12-07,,Argentina,MLA,Data Engineering,IT,DevOps Engineer
2025-01-01,user_0375,2020-12-22,,Brazil,MLB,FP&A,Finance,Finance Manager
2025-12-01,user_0755,2020-01-21,,Argentina,MLA,Product Design,Products,UX Designer
2025-06-01,user_0165,2024-12-06,2025-08-12,Venezuela,MLV,Brand,Advertising,Manager
2025-01-01,user_0071,2021-11-23,,Brazil,MLB,Data Engineering,IT,Manager
2025-05-01,user_0742,2022-12-16,,Chile,MLC,Publisher,Advertising,Senior Analyst
2025-11-01,user_0566,2024-02-02,,Brazil,MLB,Tax,Finance,Controller
2025-09-01,user_0021,2020-07-31,,Brazil,MLB,Digital Marketing,Marketing,Senior Analyst
2025-12-01,user_0350,2019-06-20,,Chile,MLC,Logistics,Shipping,Manager
2025-06-01,user_0338,2020-11-27,,Chile,MLC,GMV Analytics,Marketplace,Lead
2025-05-01,user_0779,2023-10-31,,Brazil,MLB,Product Design,Products,Product Manager
2025-05-01,user_0402,2022-05-03,2025-11-20,Mexico,MLM,Last Mile,Shipping,Representative
2025-07-01,user_0600,2024-09-11,,Argentina,MLA,Internal Audit,Internal Audit,Senior Auditor
2025-12-01,user_0556,2018-05-10,,Argentina,MLA,Security,,DevOps Engineer
2025-04-01,user_0082,2022-01-18,,Colombia,MCO,Publisher,Advertising,Analyst
2025-11-01,user_0415,2021-11-04,,Mexico,MLM,Operations,Shipping,Coordinator
2025-04-01,user_0654,2024-10-11,,Argentina,MLA,Performance,Advertising,Manager
2025-10-01,user_0378,2025-05-14,,Brazil,MLB,Sellers Growth,Marketplace,Manager
2025-01-01,user_0088,2024-08-29,,Brazil,MLB,Sellers Growth,Marketplace,Coordinator
2025-11-01,user_0632,2019-04-29,,Argentina,MLA,Payments,Fintech,Analyst
2025-01-01,user_0201,2024-10-14,,Brazil,MLB,HR Business Partner,People,Recruiter
2025-12-01,user_0566,2024-02-02,,Brazil,MLB,Tax,Finance,Controller
2025-03-01,user_0137,2022-03-07,,Ecuador,MEC,Sellers Growth,Marketplace,Analyst
2025-10-01,user_0208,2023-08-03,,Uruguay,MLU,Security,IT,Software Engineer
2025-10-01,user_0192,2020-05-28,,Argentina,MLA,Compliance,Risk & Compliance,Manager
2025-09-01,user_0569,2024-12-15,,Argentina,MLA,Sellers Growth,Marketplace,Lead
2025-02-01,user_0136,2020-11-10,,Argentina,MLA,Brand Strategy,Marketing,Specialist
2025-10-01,user_0787,2018-06-03,,Peru,MPE,Buyers Experience,Marketplace,Analyst
2025-09-01,user_0025,2023-03-10,,Brazil,MLB,Performance,Advertising,Account Manager
2025-10-01,user_0771,2022-07-27,,Brazil,MLB,Insurance,Fintech,Risk Analyst
2025-06-01,user_0503,2019-06-18,,Brazil,MLB,Data Engineering,IT,Data Engineer
2025-01-01,user_0488,2020-09-05,,Mexico,MLM,Agency,Advertising,Manager
2025-09-01,user_0384,2020-12-21,2025-11-06,Peru,MPE,Fraud Prevention,Fintech,Risk Analyst
2025-03-01,user_0249,2019-04-08,2025-09-03,Brazil,MLB,Performance,Advertising,Manager
2025-02-01,user_0434,2019-11-15,2025-03-03,United States,USA,Fraud Prevention,Fintech,Risk Analyst
2025-02-01,user_0401,2019-12-29,,Brazil,MLB,GMV Analytics,Marketplace,Coordinator
2025-02-01,user_0530,2020-02-06,,Argentina,MLA,GMV Analytics,Marketplace,Lead
2025-06-01,user_0615,2018-06-23,,Mexico,MLM,Digital Marketing,Marketing,Analyst
2025-09-01,user_0726,2021-10-07,,Colombia,MCO,L&D,People,HR Analyst
2025-08-01,user_0606,2020-04-08,,Argentina,MLA,Operational Risk,Risk & Compliance,Senior Analyst
2025-12-01,user_0162,2022-03-23,,Chile,MLC,UX Research,Products,Product Manager
2025-06-01,user_0304,2020-09-04,,Chile,MLC,Payments,Fintech,Senior Analyst
2025-10-01,user_0323,2019-01-25,2025-10-03,Brazil,MLB,UX Research,Products,Researcher
2025-11-01,user_0256,2018-08-25,,Mexico,MLM,Security,IT,Software Engineer
2025-02-01,user_0435,2023-06-01,,United States,USA,Data Engineering,IT,DevOps Engineer
2025-09-01,user_0782,2024-05-19,,Argentina,MLA,Fraud Prevention,Fintech,Risk Analyst
2025-03-01,user_0496,2021-09-14,,Brazil,MLB,Sellers Growth,Marketplace,Senior Analyst
2025-02-01,user_0362,2018-04-17,,Argentina,MLA,Compliance,Risk & Compliance,Compliance Officer
2025-03-01,user_0006,2018-07-07,,Venezuela,MLV,Product Management,Products,UX Designer
2025-04-01,user_0753,2019-05-05,,Mexico,MLM,Last Mile,Shipping,Manager
2025-07-01,user_0147,2021-03-31,,Brazil,MLB,CRM,Marketing,Senior Analyst
2025-10-01,user_0150,2019-03-10,,United States,USA,Catalog,Marketplace,Manager
2025-06-01,user_0335,2019-09-29,,Brazil,MLB,Sellers Growth,Marketplace,Lead
2025-03-01,user_0419,2021-08-12,,Argentina,MLA,Buyers Experience,Marketplace,Manager
2025-05-01,user_0593,2022-12-17,,Brazil,MLB,Insurance,Fintech,Specialist
2025-05-01,user_0131,2018-05-08,2025-10-04,Mexico,MLM,Talent Acquisition,People,HR Business Partner
2025-12-01,user_0097,2019-06-21,,Mexico,MLM,Logistics,Shipping,Coordinator
2025-10-01,user_0291,2019-09-24,,Argentina,MLA,Publisher,Advertising,Senior Analyst
2025-03-01,user_0109,2020-01-08,,Argentina,MLA,Fraud Prevention,Fintech,Specialist
2025-03-01,user_0637,2021-05-11,,Argentina,MLA,DevOps,IT,Data Engineer
2025-01-01,user_0331,2020-09-14,,Chile,MLC,Infrastructure,IT,DevOps Engineer
2025-03-01,user_0563,2019-01-10,,Mexico,MLM,Logistics,Shipping,Coordinator
2025-07-01,user_0651,2023-04-03,2025-07-09,Mexico,MLM,SOX Compliance,Internal Audit,Audit Manager
2025-09-01,user_0444,2024-12-13,,Brazil,MLB,Fraud Prevention,Fintech,Manager
2025-10-01,user_0278,2025-05-20,,Brazil,MLB,AML,Risk & Compliance,Manager
2025-05-01,user_0620,2022-04-23,,Brazil,MLB,Last Mile,Shipping,Representative
2025-11-01,user_0700,2024-07-01,,Brazil,MLB,Content,Marketing,Analyst
2025-03-01,user_0296,2022-08-31,,Mexico,MLM,Logistics,Shipping,Manager
2025-01-01,user_0690,2023-07-09,2025-11-04,Argentina,MLA,Performance,Advertising,Account Manager
2025-06-01,user_0553,2024-12-05,,Peru,MPE,GMV Analytics,Marketplace,Analyst
2025-07-01,user_0535,2019-01-30,,Chile,MLC,GMV Analytics,Marketplace,Coordinator
2025-02-01,user_0238,2021-04-23,,Chile,MLC,Treasury,Finance,Financial Analyst
2025-12-01,user_0641,2022-03-13,,Argentina,MLA,HR Business Partner,People,HR Business Partner
2025-01-01,user_0251,2020-08-17,,Chile,MLC,Accounting,Finance,Financial Analyst
2025-10-01,user_0650,2020-03-22,,Brazil,MLB,AML,Risk & Compliance,Manager
2025-10-01,user_0159,2021-03-04,,United States,USA,Performance,Advertising,Manager
2025-02-01,user_0340,2019-02-26,,Mexico,MLM,Buyers Experience,Marketplace,Manager
2025-02-01,user_0419,2021-08-12,,Argentina,MLA,Buyers Experience,Marketplace,Manager
2025-07-01,user_0204,2018-09-03,,Mexico,MLM,DevOps,IT,Analyst
2025-01-01,user_0553,2024-12-05,,Peru,MPE,GMV Analytics,Marketplace,Analyst
2025-08-01,user_0300,2024-11-20,,Venezuela,MLV,UX Research,Products,Researcher
2025-12-01,user_0590,2023-05-24,,Brazil,MLB,Fulfillment,Shipping,Coordinator
2025-08-01,user_0080,2019-05-10,,Argentina,MLA,Brand Strategy,Marketing,Marketing Manager
2025-06-01,user_0052,2020-05-25,,Argentina,MLA,Insurance,Fintech,Risk Analyst
2025-01-01,user_0583,2024-07-12,,Brazil,MLB,Operations,Shipping,Analyst
2025-12-01,user_0008,2020-09-29,,Chile,MLC,Digital Marketing,Marketing,Senior Analyst
2025-04-01,user_0344,2023-02-14,2025-05-14,Peru,MPE,Security,IT,Analyst
2025-02-01,user_0790,2020-04-06,,Colombia,MCO,Last Mile,Shipping,Analyst
2025-08-01,user_0740,2018-04-13,,Brazil,MLB,Operations,Shipping,Supervisor
2025-10-01,user_0404,2019-12-11,,Peru,MPE,Insurance,Fintech,Manager
2025-10-01,user_0470,2022-11-18,,Peru,MPE,Logistics,Shipping,Coordinator
2025-07-01,user_0530,2020-02-06,,Argentina,MLA,GMV Analytics,Marketplace,Lead
2025-09-01,user_0163,2018-03-16,,Brazil,MLB,Digital Marketing,Marketing,Specialist
2025-08-01,user_0002,2023-09-01,,Brazil,MLB,Logistics,Shipping,Representative
2025-05-01,user_0255,2021-05-13,,Chile,MLC,Security,IT,DevOps Engineer
2025-10-01,user_0310,2022-02-11,,Mexico,MLM,Brand,Advertising,Manager
2025-08-01,user_0700,2024-07-01,,Brazil,MLB,Content,Marketing,Analyst
2025-10-01,user_0037,2020-05-12,,Brazil,MLB,Buyers Experience,Marketplace,Manager
2025-08-01,user_0665,2022-01-15,,Chile,MLC,Performance,Advertising,Account Manager
2025-05-01,user_0422,2023-07-01,,Mexico,MLM,Operations,Shipping,Analyst
2025-01-01,user_0491,2022-01-19,,Brazil,MLB,Credit,Fintech,Specialist
2025-01-01,user_0100,2023-09-13,,Brazil,MLB,AML,Risk & Compliance,Senior Analyst
2025-07-01,user_0160,2024-04-04,,Chile,MLC,GMV Analytics,Marketplace,Analyst
2025-01-01,user_0349,2018-12-14,,Mexico,MLM,Brand Strategy,Marketing,Specialist
2025-12-01,user_0555,2018-03-02,,Brazil,MLB,Digital Marketing,Marketing,Senior Analyst
2025-06-01,user_0114,2021-03-18,,Chile,MLC,Digital Marketing,Marketing,Specialist
2025-11-01,user_0215,2024-11-30,,Mexico,MLM,Insurance,Fintech,Senior Analyst
2025-11-01,user_0340,2019-02-26,,Mexico,MLM,Buyers Experience,Marketplace,Manager
2025-04-01,user_0215,2024-11-30,,Mexico,MLM,Insurance,Fintech,Senior Analyst
2025-12-01,user_0035,2024-02-04,,Uruguay,MLU,Treasury,Finance,Finance Manager
2025-04-01,user_0221,2021-11-03,,Mexico,MLM,Credit,Fintech,Risk Analyst
2025-10-01,user_0028,2023-02-07,,Brazil,MLB,Catalog,Marketplace,Manager
2025-10-01,user_0086,2021-05-02,,Venezuela,MLV,Fraud Prevention,Fintech,Risk Analyst
2025-10-01,user_0029,2020-06-10,,Colombia,MCO,DevOps,IT,Software Engineer
2025-07-01,user_0414,2023-08-12,2025-08-15,Mexico,MLM,Talent Acquisition,People,Manager
2025-12-01,user_0356,2022-03-05,,Peru,MPE,Internal Audit,Internal Audit,Internal Auditor
2025-08-01,user_0003,2021-02-13,,Colombia,MCO,DevOps,IT,Analyst
2025-10-01,user_0524,2020-02-18,,Mexico,MLM,Last Mile,Shipping,Coordinator
2025-10-01,user_0770,2018-06-16,2025-10-11,Mexico,MLM,Publisher,Advertising,Manager
2025-01-01,user_0253,2023-11-06,,Chile,MLC,Insurance,Fintech,Senior Analyst
2025-08-01,user_0016,2019-10-24,,Argentina,MLA,UX Research,Products,UX Designer
2025-02-01,user_0614,2022-10-18,,Argentina,MLA,Product Management,Products,Researcher
2025-06-01,user_0587,2019-09-05,,Chile,MLC,Sellers Growth,Marketplace,Manager
2025-02-01,user_0075,2024-05-23,,Peru,MPE,Catalog,Marketplace,Senior Analyst
2025-08-01,user_0424,2024-08-29,,Chile,MLC,GMV Analytics,marketplace,Lead
2025-08-01,user_0697,2022-01-11,,Chile,MLC,Fraud Prevention,Fintech,Analyst
2025-01-01,user_0385,2018-07-02,,Argentina,MLA,Fulfillment,Shipping,Analyst
2025-03-01,user_0074,2024-08-23,,Venezuela,MLV,Agency,Advertising,Account Manager
2025-06-01,user_0247,2024-01-10,,Argentina,MLA,Buyers Experience,Marketplace,Manager
2025-10-01,user_0783,2022-05-23,,Chile,MLC,AML,Risk & Compliance,Senior Analyst
2025-05-01,user_0793,2021-05-13,,Mexico,MLM,Payments,Fintech,Manager
2025-01-01,user_0316,2021-08-12,,Peru,MPE,Buyers Experience,Marketplace,Senior Analyst
2025-11-01,user_0600,2024-09-11,,Argentina,MLA,Internal Audit,Internal Audit,Senior Auditor
2025-05-01,user_0661,2021-06-01,,Mexico,MLM,Insurance,Fintech,Manager
2025-12-01,user_0518,2020-03-07,,Uruguay,MLU,Last Mile,Shipping,Coordinator
2025-10-01,user_0540,2021-01-16,,Argentina,MLA,Insurance,Fintech,Specialist
2025-04-01,user_0660,2023-01-30,,Uruguay,MLU,FP&A,Finance,Senior Analyst
2025-12-01,user_0349,2018-12-14,,Mexico,MLM,Brand Strategy,Marketing,Specialist
2025-12-01,user_0086,2021-05-02,,Venezuela,MLV,Fraud Prevention,Fintech,Risk Analyst
2025-10-01,user_0370,2021-10-10,,Peru,MPE,L&D,People,Manager
2025-09-01,user_0146,2018-07-06,,Argentina,MLA,Fraud Prevention,Fintech,Specialist
2025-10-01,user_0795,2023-12-23,,Brazil,MLB,Agency,Advertising,Manager
2025-05-01,user_0677,2020-08-25,,Brazil,MLB,Operations,Shipping,Analyst
2025-05-01,user_0520,2022-03-25,,Brazil,MLB,Publisher,Advertising,Manager
2025-02-01,user_0338,2020-11-27,,Chile,MLC,GMV Analytics,Marketplace,Lead
2025-01-01,user_0228,2019-07-18,2025-11-09,Brazil,MLB,GMV Analytics,Marketplace,Coordinator
2025-04-01,user_0763,2025-02-25,,Brazil,MLB,Product Design,Products,Researcher
2025-04-01,user_0145,2020-06-01,,Brazil,MLB,Product Analytics,Products,Researcher
2025-05-01,user_0251,2020-08-17,,Chile,MLC,Accounting,Finance,Financial Analyst
2025-10-01,user_0237,2022-01-12,,Colombia,MCO,GMV Analytics,Marketplace,Senior Analyst
2025-12-01,user_0270,2020-02-26,,Uruguay,MLU,Sellers Growth,Marketplace,Lead
2025-10-01,user_0245,2018-10-10,,Brazil,MLB,Logistics,Shipping,Supervisor
2025-11-01,user_0626,2020-01-01,,Argentina,MLA,FP&A,Finance,Financial Analyst
2025-06-01,user_0136,2020-11-10,,Argentina,MLA,Brand Strategy,Marketing,Specialist
2025-12-01,user_0453,2019-12-30,,Peru,MLM,Insurance,Fintech,Senior Analyst
2025-06-01,user_0496,2021-09-14,,Brazil,MLB,Sellers Growth,Marketplace,Senior Analyst
2025-04-01,user_0333,2018-02-26,,Brazil,MLB,Brand,Advertising,Analyst
2025-03-01,user_0260,2024-10-11,,Brazil,MLB,Payments,Fintech,Risk Analyst
2025-03-01,user_0222,2020-10-06,,Peru,MPE,Product Management,Products,Researcher
2025-04-01,user_0487,2024-08-12,,Chile,MLC,Catalog,Marketplace,Senior Analyst
2025-09-01,user_0016,2019-10-24,,Argentina,MLA,UX Research,Products,UX Designer
2025-10-01,user_0222,2020-10-06,,Peru,MPE,Product Management,Products,Researcher
2025-01-01,user_0129,2019-12-15,,Brazil,MLB,Operations,Shipping,Supervisor
2025-06-01,user_0169,2019-07-21,,Mexico,MLM,Operations,Shipping,Coordinator
2025-03-01,user_0031,2020-08-21,,Brazil,MLB,Performance,Advertising,Analyst
2025-12-01,user_0614,2022-10-18,,Argentina,MLA,Content,Marketing,Marketing Manager
2025-10-01,user_0095,2020-10-30,,Argentina,MLA,Talent Acquisition,People,Manager
2025-07-01,user_0341,2018-02-20,,Brazil,MLB,Digital Marketing,Marketing,Analyst
2025-01-01,user_0673,2024-09-13,,Argentina,MLA,SOX Compliance,Internal Audit,Senior Auditor
2025-12-01,user_0398,2023-10-17,,Chile,MLC,Buyers Experience,Marketplace,Coordinator
2025-05-01,user_0517,2024-03-01,,Argentina,MLA,Credit Risk,Risk & Compliance,Risk Analyst
2025-10-01,user_0542,2019-02-26,2025-10-01,Chile,MLC,Talent Acquisition,People,Recruiter
2025-11-01,user_0794,2018-03-18,,Brazil,MLB,Fulfillment,Shipping,Supervisor
2025-04-01,user_0495,2018-11-12,,Mexico,MLM,Performance,Advertising,Account Manager
2025-08-01,user_0173,2023-04-20,,Chile,MLC,Infrastructure,IT,Data Engineer
2025-05-01,user_0293,2021-12-25,,Argentina,MLA,FP&A,Finance,Financial Analyst
2025-03-01,user_0647,2018-03-04,,Argentina,MLA,Buyers Experience,Marketplace,Senior Analyst
2025-07-01,user_0164,2019-07-18,,Brazil,MLB,Compensation,People,Recruiter
2025-05-01,user_0449,2018-01-18,,Brazil,MLB,Tax,Finance,Senior Analyst
2025-10-01,user_0460,2018-11-02,,Mexico,MLM,Infrastructure,IT,Analyst
2025-06-01,user_0512,2018-01-22,,Mexico,MLM,Product Design,Products,UX Designer
2025-08-01,user_0639,2020-02-07,,Brazil,MLB,Internal Audit,Internal Audit,Audit Manager
2025-05-01,user_0535,2019-01-30,,Chile,MLC,GMV Analytics,Marketplace,Coordinator
2025-07-01,user_0090,2024-05-20,,Venezuela,MLV,Buyers Experience,Marketplace,Manager
2025-07-01,user_0735,2023-12-12,,Mexico,MLM,Product Management,Products,Researcher
2025-03-01,user_0562,2024-07-08,,Mexico,MLM,Operations,Shipping,Representative
2025-08-01,user_0402,2022-05-03,2025-11-20,Mexico,MLM,Last Mile,Shipping,Representative
2025-09-01,user_0040,2019-09-03,,Chile,MLC,Credit Risk,Risk & Compliance,Risk Analyst
2025-05-01,user_0310,2022-02-11,,Mexico,MLM,Brand,Advertising,Manager
2025-06-01,user_0457,2018-05-13,,Brazil,MLB,GMV Analytics,Marketplace,Senior Analyst
2025-05-01,user_0029,2020-06-10,,Colombia,MCO,DevOps,IT,Software Engineer
2025-05-01,user_0557,2020-01-14,,Ecuador,MEC,Catalog,Marketplace,Analyst
2025-02-01,user_0281,2022-11-01,,Argentina,MLA,Digital Marketing,Marketing,Senior Analyst
2025-03-01,user_0656,2023-05-30,,Argentina,MLA,Operations,Shipping,Supervisor
2025-11-01,user_0329,2024-09-23,,Brazil,MLB,Payments,Fintech,Senior Analyst
2025-05-01,user_0410,2020-06-29,,Mexico,MLM,Legal,Legal & QA,QA Analyst
2025-04-01,user_0752,2018-10-01,,Chile,MLC,Payments,Fintech,Manager
2025-01-01,user_0350,2019-06-20,,Chile,MLC,Logistics,Shipping,Manager
2025-07-01,user_0624,2018-11-22,,Uruguay,MLU,Treasury,Finance,Senior Analyst
2025-04-01,user_0065,2023-03-07,,Mexico,MLM,Product Design,Products,Researcher
2025-05-01,user_0232,2019-03-16,,Ecuador,MEC,FP&A,Finance,Finance Manager
2025-09-01,user_0214,2023-10-29,,Mexico,MLM,Buyers Experience,Marketplace,Manager
2025-10-01,user_0564,2019-09-23,,United States,USA,Digital Marketing,Marketing,Analyst
2025-06-01,user_0191,2025-04-06,,Argentina,MLA,UX Research,Products,Product Manager
2025-12-01,user_0549,2023-05-09,,Brazil,MLB,Payments,Fintech,Risk Analyst
2025-02-01,user_0481,2021-06-06,,Uruguay,MLU,Fraud Prevention,Fintech,Manager
2025-12-01,user_0459,2022-02-15,,Brazil,MLB,CRM,Marketing,Specialist
2025-06-01,user_0117,2022-02-07,,Argentina,MLA,Operations,Shipping,Coordinator
2025-05-01,user_0292,2022-09-10,,Brazil,MLB,Regulatory Affairs,Legal & QA,Manager
2025-06-01,user_0007,2022-02-03,,United States,USA,Data Engineering,IT,DevOps Engineer
2025-03-01,user_0531,2020-05-12,,Mexico,MLM,Product Management,Products,UX Designer
2025-08-01,user_0328,2021-12-10,,Brazil,MLB,Sellers Growth,Marketplace,Lead
2025-09-01,user_0014,2021-10-25,2025-09-11,Ecuador,MEC,Product Design,Products,Product Analyst
2025-11-01,user_0031,2020-08-21,,Brazil,MLB,Performance,Advertising,Analyst
2025-06-01,user_0398,2023-10-17,,Chile,MLC,Buyers Experience,Marketplace,Coordinator
2025-08-01,user_0206,2021-07-31,,United States,USA,GMV Analytics,Marketplace,Lead
2025-11-01,user_0662,2023-09-22,,Colombia,MCO,FP&A,Finance,Financial Analyst
2025-07-01,user_0037,2020-05-12,,Brazil,MLB,Buyers Experience,Marketplace,Manager
2025-09-01,user_0562,2024-07-08,,Mexico,MLM,Operations,Shipping,Representative
2025-10-01,user_0341,2018-02-20,,Brazil,MLB,Digital Marketing,Marketing,Analyst
2025-09-01,user_0156,2022-04-24,,Peru,MPE,Sellers Growth,Marketplace,Lead
2025-05-01,user_0705,2020-09-24,,Brazil,MLB,Catalog,Marketplace,Senior Analyst
2025-08-01,user_0499,2020-06-06,,Ecuador,MEC,Credit Risk,Risk & Compliance,Manager
2025-10-01,user_0242,2024-07-16,,Brazil,MLB,DevOps,IT,Data Engineer
2025-08-01,user_0017,2025-07-05,,Mexico,MLM,GMV Analytics,Marketplace,Coordinator
2025-08-01,user_0226,2024-01-16,,Argentina,MLA,Fraud Prevention,Fintech,Senior Analyst
2025-11-01,user_0257,2018-11-20,,Mexico,MLM,Buyers Experience,Marketplace,Manager
2025-12-01,user_0148,2018-06-23,,Mexico,MLM,Insurance,Fintech,Analyst
2025-01-01,user_0753,2019-05-05,,Mexico,MLM,Last Mile,Shipping,Manager
2025-09-01,user_0526,2024-01-27,,Colombia,MCO,Sellers Growth,Marketplace,Coordinator
2025-11-01,user_0647,2018-03-04,,Argentina,MLA,Buyers Experience,Marketplace,Senior Analyst
2025-01-01,user_0538,2019-08-17,,Uruguay,MLU,Last Mile,Shipping,Manager
2025-06-01,user_0475,2024-02-14,,Brazil,MLB,Buyers Experience,Marketplace,Senior Analyst
2025-05-01,user_0298,2019-03-24,,Brazil,MLB,Sellers Growth,Marketplace,Analyst
2025-04-01,user_0561,2021-08-22,2025-06-22,Peru,MPE,Payments,Fintech,Senior Analyst
2025-08-01,user_0001,2019-02-24,,Chile,MLC,GMV Analytics,Marketplace,Senior Analyst
2025-08-01,user_0640,2018-12-22,,Colombia,MCO,Brand Strategy,Marketing,Analyst
2025-12-01,user_0528,2018-05-14,,Mexico,MLM,Catalog,Marketplace,Coordinator
2025-11-01,user_0535,2019-01-30,,Chile,MLC,GMV Analytics,Marketplace,Coordinator
2025-10-01,user_0674,2018-07-31,,Mexico,MLM,Catalog,Marketplace,Lead
2025-07-01,user_0271,2023-02-24,,Argentina,MLA,Data Engineering,IT,Analyst
2025-06-01,user_0465,2021-09-21,,Mexico,MLM,Last Mile,Shipping,Coordinator
2025-06-01,user_0744,2021-02-12,,Brazil,MLB,Buyers Experience,Marketplace,Lead
2025-12-01,user_0261,2022-01-11,,Brazil,MLB,Insurance,Fintech,Risk Analyst
2025-04-01,user_0758,2024-04-07,,Brazil,MLB,Credit,Fintech,Senior Analyst
2025-06-01,user_0488,2020-09-05,,Mexico,MLM,Agency,Advertising,Manager
2025-07-01,user_0747,2024-08-02,,Argentina,MLA,Catalog,Marketplace,Coordinator
2025-03-01,user_0442,2022-08-16,2025-11-09,Argentina,MLA,Catalog,Marketplace,Analyst
2025-12-01,user_0671,2023-11-14,,United States,USA,Brand,Advertising,Manager
2025-10-01,user_0478,2020-11-01,,Peru,MPE,Buyers Experience,Marketplace,Senior Analyst
2025-12-01,user_0683,2019-02-07,,Uruguay,MLU,Security,IT,Analyst
2025-12-01,user_0238,2021-04-23,,Chile,MLC,Treasury,Finance,Financial Analyst
2025-03-01,user_0298,2019-03-24,,Brazil,MLB,Sellers Growth,Marketplace,Analyst
2025-12-01,user_0234,2025-06-22,,Argentina,MLA,Brand Strategy,Marketing,Senior Analyst
2025-03-01,user_0029,2020-06-10,,Colombia,MCO,DevOps,IT,Software Engineer
2025-05-01,user_0076,2020-11-24,,Brazil,MLB,Infrastructure,IT,DevOps Engineer
2025-09-01,user_0317,2018-11-06,,Chile,MLC,Publisher,Advertising,Account Manager
2025-09-01,user_0154,2018-10-07,,Mexico,MLM,Product Management,Products,Product Analyst
2025-02-01,user_0709,2019-04-27,,Venezuela,MLV,Logistics,Shipping,Supervisor
2025-01-01,user_0617,2021-04-20,,Uruguay,MLU,Security,IT,DevOps Engineer
2025-02-01,user_0655,2018-10-18,,Argentina,MLA,Digital Marketing,Marketing,Marketing Manager
2025-04-01,user_0760,2022-12-16,,Ecuador,MEC,Publisher,Advertising,Manager
2025-02-01,user_0675,2018-11-11,,Colombia,MCO,Catalog,Marketplace,Analyst
2025-07-01,user_0755,2020-01-21,,Argentina,MLA,Product Design,Products,UX Designer
2025-05-01,user_0362,2018-04-17,,Argentina,MLA,Compliance,Risk & Compliance,Compliance Officer
2025-02-01,user_0438,2020-10-15,,Mexico,MLM,Digital Marketing,Marketing,Specialist
2025-05-01,user_0755,2020-01-21,,Argentina,MLA,Product Design,Products,UX Designer
2025-12-01,user_0300,2024-11-20,,Venezuela,MLV,UX Research,Products,Researcher
2025-08-01,user_0019,2024-03-01,,Venezuela,MLV,Internal Audit,Internal Audit,Internal Auditor
2025-06-01,user_0727,2024-04-07,,Argentina,MLA,Brand,Advertising,Manager
2025-10-01,user_0431,2022-01-15,,Mexico,MLM,Buyers Experience,Marketplace,Analyst
2025-01-01,user_0019,2024-03-01,,Venezuela,MLV,Internal Audit,Internal Audit,Internal Auditor
2025-01-01,user_0041,2018-06-13,,Mexico,MLM,Buyers Experience,Marketplace,Analyst
2025-01-01,user_0450,2024-09-25,,Mexico,MLM,CRM,Marketing,Analyst
2025-06-01,user_0777,2020-08-03,,Brazil,MLB,Brand,Advertising,Manager
2025-08-01,user_0165,2024-12-06,2025-08-12,Venezuela,MLV,Brand,Advertising,Manager
2025-02-01,user_0010,2022-06-09,,Uruguay,MLU,Compliance,Risk & Compliance,Senior Analyst
2025-01-01,user_0389,2023-01-14,,Brazil,MLB,Operational Risk,Risk & Compliance,Risk Analyst
2025-06-01,user_0627,2022-01-15,,Chile,MLC,UX Research,Products,Researcher
2025-01-01,user_0164,2019-07-18,,Brazil,MLB,Compensation,People,Recruiter
2025-12-01,user_0530,2020-02-06,,Argentina,MLA,GMV Analytics,Marketplace,Lead
2025-09-01,user_0424,2024-08-29,,Chile,MLC,GMV Analytics,Marketplace,Lead
2025-07-01,user_0586,2024-10-03,,Argentina,MLA,Talent Acquisition,People,Recruiter
2025-08-01,user_0782,2024-05-19,,Argentina,MLA,Fraud Prevention,Fintech,Risk Analyst
2025-02-01,user_0549,2023-05-09,,Brazil,MLB,Payments,Fintech,Risk Analyst
2025-02-01,user_0301,2018-09-14,,Argentina,MLA,Buyers Experience,Marketplace,Senior Analyst
2025-03-01,user_0450,2024-09-25,,Mexico,MLM,CRM,Marketing,Analyst
2025-03-01,user_0258,2024-10-13,,Brazil,MLB,CRM,Marketing,Analyst
2025-07-01,user_0175,2020-08-31,,Mexico,MLM,Fulfillment,Shipping,Representative
2025-08-01,user_0564,2019-09-23,,United States,USA,Digital Marketing,Marketing,Analyst
2025-08-01,user_0060,2022-04-18,,Argentina,MLA,FP&A,Finance,Senior Analyst
2025-07-01,user_0079,2021-11-09,,Argentina,MLA,Insurance,Fintech,Risk Analyst
2025-11-01,user_0797,2018-09-21,,Colombia,MCO,DevOps,IT,Analyst
2025-10-01,user_0181,2018-06-29,,Brazil,MLB,Catalog,Marketplace,Analyst
2025-08-01,user_0178,2018-06-28,,Venezuela,MLV,Brand,Advertising,Account Manager
2025-04-01,user_0461,2019-06-17,,Mexico,MLM,Fulfillment,Shipping,Analyst
2025-08-01,user_0143,2021-06-30,,Mexico,MLM,Fulfillment,Shipping,Analyst
2025-06-01,user_0794,2018-03-18,,Brazil,MLB,Fulfillment,Shipping,Supervisor
2025-08-01,user_0054,2018-07-09,,Colombia,MCO,UX Research,Products,UX Designer
2025-03-01,user_0605,2022-10-13,,Peru,MPE,Product Analytics,Products,UX Designer
